#### ESC+< , CTRL+BARRA , CTRL+W, CTRL+Y, ESC+%, CTRL+Y, ENTER, REEMPLAZO, ENTER, ! ########
 00Z 30 06 2017,  415.92 , 31.82
 12Z 30 06 2017,  30.88 , 42.11
 00Z 01 07 2017,  68.20 , 29.39
 12Z 01 07 2017,  135.20 , 42.23
 00Z 02 07 2017,  128.16 , 30.06
 12Z 02 07 2017,  12.61 , 24.45
 00Z 03 07 2017,  45.73 , 27.63
 12Z 03 07 2017,  0.00 , 17.09
 00Z 04 07 2017,  7.77 , 21.66
 12Z 04 07 2017,  0.00 , 20.03
 00Z 05 07 2017,  0.00 , 16.86
 12Z 05 07 2017,  0.00 , 19.12
 00Z 06 07 2017,  62.85 , 27.59
 12Z 06 07 2017,  139.83 , 23.37
 00Z 07 07 2017,  103.77 , 30.74
 12Z 07 07 2017,  0.00 , 31.38
 00Z 08 07 2017,  431.10 , 34.81
 12Z 08 07 2017,  343.19 , 30.42
 00Z 09 07 2017,  0.49 , 15.79
 12Z 09 07 2017,  43.35 , 22.59
 00Z 10 07 2017,  0.00 , 20.17
 12Z 10 07 2017,  0.00 , 24.92
 00Z 11 07 2017,  130.47 , 39.31
 12Z 11 07 2017,  0.33 , 26.70
 00Z 12 07 2017,  14.73 , 28.98
 12Z 12 07 2017,  870.40 , 43.57
 00Z 13 07 2017,  627.26 , 43.20
 12Z 13 07 2017,  299.34 , 43.60
 00Z 14 07 2017,  440.85 , 45.25
 12Z 14 07 2017,  761.19 , 30.25
 00Z 15 07 2017,  272.50 , 27.92
 12Z 15 07 2017,  0.00 , 25.46
 00Z 16 07 2017,  0.08 , 22.00
 12Z 16 07 2017,  19.44 , 23.67
 00Z 17 07 2017,  379.50 , 29.82
 12Z 17 07 2017,  226.50 , 25.31
 00Z 18 07 2017,  43.06 , 22.31
 12Z 18 07 2017,  0.00 , 17.96
 00Z 19 07 2017,  0.00 , 16.58
 12Z 19 07 2017,  0.00 , 26.26
 00Z 20 07 2017,  220.16 , 34.61
 12Z 20 07 2017,  0.00 , 24.30
 00Z 21 07 2017,  208.54 , 35.32
 12Z 21 07 2017,  463.02 , 29.60
 00Z 22 07 2017,  136.92 , 28.35
 12Z 22 07 2017,  0.00 , 29.94
 00Z 23 07 2017,  0.00 , 33.22
 12Z 23 07 2017,  0.00 , 33.70
 00Z 24 07 2017,  871.00 , 39.79
 12Z 24 07 2017,  1240.63 , 34.43
 00Z 25 07 2017,  126.66 , 34.15
 12Z 25 07 2017,  0.00 , 22.97
 00Z 26 07 2017,  2.34 , 17.19
 12Z 26 07 2017,  0.00 , 15.00
 00Z 27 07 2017,  0.00 , 34.45
 12Z 27 07 2017,  10.51 , 42.90
 00Z 28 07 2017,  486.76 , 32.40
